service,category,ports,iana_descriptions,nmap_descriptions,iana_references,rationale,additional_source,evidence_basis,cisco_category,cisco_subcategory,cisco_source
cps,other,14250/tcp; 14250/udp,Fencing Server,Fencing Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cpscomm,management,5194/tcp,CipherPoint Config Service,CipherPoint Config Service,,"System/device management, diagnostics, or configuration. See individual service documentation before integration.",,registry description / named protocol interpretation,,,
cpsp,network,17222/tcp,Control Plane Synchronization Protocol (SPSP),Control Plane Synchronization Protocol (SPSP),,"Network control, routing, encapsulation, or transport infrastructure.",,registry description / named protocol interpretation,,,
cpudpencap,other,2746/tcp; 2746/udp,CPUDPENCAP,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cqg-netlan,other,2823/tcp; 2823/udp,CQG Net/LAN,CQG Net/LAN,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cqg-netlan-1,other,2824/tcp; 2824/udp,CQG Net/LAN 1 | CQG Net/Lan 1,CQG Net/LAN 1 | CQG Net/Lan 1 | CQG Net/Lan 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cr-websystems,other,2314/tcp; 2314/udp,CR WebSystems,CR WebSystems,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
creativepartnr,other,455/tcp; 455/udp; 3366/tcp; 3366/udp,Creative Partner | CreativePartnr,Creative Partner,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
creativeserver,other,453/tcp; 453/udp; 3364/tcp; 3364/udp,Creative Server | CreativeServer,Creative Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cresco-control,other,38002/tcp,Cresco Controller,crescoctrl-disc | Cresco Controller | Cresco Controller Discovery,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
crestron-cip,industrial,41794/tcp; 41794/udp,Crestron Control Port,Crestron Control Port,,Documented purpose: crestron-cip,,registry description / named protocol interpretation,,,
crestron-cips,industrial,41796/tcp,Crestron Secure Control Port,Crestron Secure Control Port,,Documented purpose: crestron-cips,,registry description / named protocol interpretation,,,
crestron-ctp,industrial,41795/tcp; 41795/udp,Crestron Terminal Port,Crestron Terminal Port,,Documented purpose: crestron-ctp,,registry description / named protocol interpretation,,,
crestron-ctps,industrial,41797/tcp,Crestron Secure Terminal Port,Crestron Secure Terminal Port,,Documented purpose: crestron-ctps,,registry description / named protocol interpretation,,,
crinis-hb,other,3818/tcp; 3818/udp,Crinis Heartbeat,Crinis Heartbeat,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
crip,other,6253/tcp; 6253/udp,CRIP,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
crmsbits,other,2422/tcp; 2422/udp,CRMSBITS,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cronus,other,148/tcp; 148/udp,,CRONUS-SUPPORT | jargon | CRONUS-SUPPORT | Jargon,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
crs,other,507/tcp; 507/udp,crs,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,net-admin,authentication-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
crtech-nlm,other,20810/tcp,CRTech NLM,CRTech NLM,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cruise-config,management,8378/tcp; 8378/udp,Cruise CONFIG,Cruise CONFIG,,"System/device management, diagnostics, or configuration. See individual service documentation before integration.",,registry description / named protocol interpretation,,,
cruise-diags,management,8379/tcp; 8379/udp,Cruise DIAGS,Cruise DIAGS,,"System/device management, diagnostics, or configuration. See individual service documentation before integration.",,registry description / named protocol interpretation,,,
cruise-enum,other,8376/tcp; 8376/udp,Cruise ENUM,Cruise ENUM,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cruise-swroute,other,8377/tcp; 8377/udp,Cruise SWROUTE,Cruise SWROUTE,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cruise-update,other,8380/tcp; 8380/udp,Cruise UPDATE,Cruise UPDATE,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
crusecontrol,printing,5231/tcp,Remote Control of Scan Software for Cruse Scanners,Remote Control of Scan Software for Cruse Scanners,,"Scanner control / printer page-description-language data stream, not general desktop access or audiovisual streaming.",,registry description / named protocol interpretation,,,
cryptoadmin,identity,624/tcp; 624/udp,Crypto Admin,Crypto Admin,,CRYPTOAdmin remote-network authentication solution.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html,Cisco protocol-reference corroboration,voice-and-video,authentication-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
crystalenterprise,other,6401/tcp,,Seagate Crystal Enterprise | boe-was,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
crystalreports,other,6400/tcp,,boe-cms | Seagate Crystal Reports | Business Objects CMS contact port,,Source describes a specialized application outside the selected core taxonomy.,,fallback; see rationale,,,
cs-auth-svr,identity,3113/tcp; 3113/udp,CS-Authenticate Svr Port,CS-Authenticate Svr Port,,"Authentication, identity/directory information, credential/key handling, or authorization endpoint.",,registry description / named protocol interpretation,,,
cs-live,other,2129/tcp; 2129/udp,cs-live.com,cs-live.com,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cs-remote-db,database,3630/tcp; 3630/udp,C&S Remote Database Port,C&S Remote Database Port,,Documented purpose: Database,,registry description / named protocol interpretation,,,
cs-services,web,3631/tcp; 3631/udp,C&S Web Services Port,C&S Web Services Port,,Documented purpose: Web Services,,registry description / named protocol interpretation,,,
csbphone,media,1724/tcp; 1724/udp,,csbphonemaster,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
csc_proxy,other,4187/tcp,Cascade Proxy,csc-proxy | Cascade Proxy,,Product-specific proxy label does not establish a general-purpose network proxy or VPN.,,fallback; see rationale,,,
csccfirewall,security,40843/tcp; 40843/udp,CSCCFIREWALL,,,"Security inspection, threat detection/prevention, vulnerability assessment, security policy, or security product operations.",,registry description / named protocol interpretation,,,
csccredir,other,40842/tcp; 40842/udp,CSCCREDIR,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cscp,other,40841/tcp; 40841/udp,CSCP,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
csd-mgmt-port,management,3071/tcp; 3071/udp,,ContinuStor Manager Port | xplat-replicate | ContinuStor Manager Port | Crossplatform replication protocol,,Documented purpose: Manager,,registry description / named protocol interpretation,,,
csd-monitor,management,3072/tcp; 3072/udp,ContinuStor Monitor Port,ContinuStor Monitor Port,,Documented purpose: Monitor,,registry description / named protocol interpretation,,,
csdm,other,1468/tcp; 1468/udp; 1472/tcp; 1472/udp,CSDM | csdm,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
csdmbase,other,1467/tcp; 1467/udp; 1471/tcp; 1471/udp,CSDMBASE | csdmbase,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
csi-lfap,other,3145/tcp; 3145/udp,CSI-LFAP,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
csi-sgwp,management,348/tcp; 348/udp,Cabletron Management Protocol,Cabletron Management Protocol,,Documented purpose: Management,,registry description / named protocol interpretation,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cslg,storage,24754/tcp,Citrix StorageLink Gateway,Citrix StorageLink Gateway,,"Block/storage infrastructure, storage replication, tape access, or storage data movement.",,registry description / named protocol interpretation,,,
cslistener,other,9000/tcp; 9000/udp,CSlistener,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
csms,other,3399/udp,CSMS,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
csms2,other,3400/tcp; 3400/udp,CSMS2,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
csnet-ns,identity,105/tcp; 105/udp,Mailbox Name Nameserver,Mailbox Name Nameserver | cso | Mailbox Name Nameserver | CCSO name server protocol,,Directory lookup service; not itself email delivery or DNS name resolution.,,registry description / named protocol interpretation,net-admin,naming-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
